ts,x,y,z,qw,qx,qy,qz,rx,ry,rz
48629633,1.34779,-1.85976,0.00676242,0.766807,0.0127435,0.0886517,-0.635598,-0.0943876,0.15275,-1.39145
48696300,1.35098,-1.91003,0.00401332,0.755642,0.0103178,0.0887673,-0.64886,-0.100875,0.148083,-1.42652
48762966,1.35482,-1.96123,-0.000524304,0.742852,0.00855286,0.0908139,-0.663212,-0.109139,0.146794,-1.46567
48829633,1.35776,-2.01315,-0.00485996,0.727876,0.0118943,0.0851773,-0.680294,-0.0997243,0.140643,-1.51027
48896300,1.36133,-2.06638,-0.00700822,0.706792,0.0143568,0.0818388,-0.702525,-0.0957255,0.136279,-1.57128
48962966,1.36431,-2.12038,-0.00478161,0.682147,0.0229461,0.0815497,-0.726291,-0.0881922,0.145097,-1.63987
49029633,1.36371,-2.17246,0.00205034,0.661306,0.0396222,0.0833289,-0.744419,-0.072771,0.170021,-1.69511
49096300,1.35927,-2.21585,0.00845007,0.637767,0.0351951,0.0714975,-0.766096,-0.0653937,0.145637,-1.75789
49162966,1.35161,-2.25741,0.0141483,0.614261,0.033378,0.0705728,-0.785231,-0.0705706,0.139572,-1.81886
49229633,1.34085,-2.29894,0.0171625,0.59238,0.0386814,0.0733751,-0.801378,-0.0726474,0.149485,-1.87393
49296300,1.32913,-2.33816,0.0190816,0.578727,0.0336331,0.0740122,-0.811459,-0.0820896,0.140713,-1.90833
49362966,1.31564,-2.381,0.0158071,0.573634,0.030601,0.0835977,-0.81426,-0.102302,0.146264,-1.92164
49429633,1.2981,-2.42828,0.00686177,0.569102,0.0308051,0.0818375,-0.817604,-0.0999584,0.144018,-1.93266
49496300,1.27663,-2.4773,-0.00176098,0.56648,0.0392836,0.0715539,-0.820023,-0.073695,0.146013,-1.93792
49562966,1.25308,-2.5264,-0.00658985,0.567273,0.0560721,0.0648242,-0.819057,-0.043181,0.166162,-1.93371
49629633,1.23084,-2.57701,-0.00463858,0.567123,0.0707055,0.0793281,-0.816749,-0.050483,0.206949,-1.93297
49696300,1.20708,-2.61853,-0.00246946,0.557844,0.0665402,0.0728047,-0.824064,-0.0466275,0.192073,-1.95592
49762966,1.18299,-2.65937,0.000218723,0.544124,0.0723094,0.0729988,-0.83269,-0.0437772,0.201218,-1.98842
49829633,1.16024,-2.69594,0.00264555,0.526685,0.0767359,0.069419,-0.843739,-0.0370893,0.204027,-2.0293
